product_code,product_description,product_group,sales_date,price,sales_quantity,unit
1001,tomato,vegetable,2021-11-01,2.99,36,kg
1001,tomato,vegetable,2021-11-02,2.99,23,kg
1001,tomato,vegetable,2021-11-03,2.99,34,kg
1001,tomato,vegetable,2021-11-04,2.99,23,kg
1001,tomato,vegetable,2021-11-05,2.99,34,kg
1001,tomato,vegetable,2021-11-06,2.99,20,kg
1001,tomato,vegetable,2021-11-07,2.99,21,kg
1001,tomato,vegetable,2021-11-08,2.99,20,kg
1001,tomato,vegetable,2021-11-09,2.99,31,kg
1001,tomato,vegetable,2021-11-10,2.99,34,kg
1001,tomato,vegetable,2021-11-11,,20,kg
1001,tomato,vegetable,2021-11-12,2.99,22,kg
1001,tomato,vegetable,2021-11-13,2.99,26,kg
1001,tomato,vegetable,2021-11-14,2.99,38,kg
1001,tomato,vegetable,2021-11-15,3.49,38,kg
1001,tomato,vegetable,2021-11-16,3.49,28,kg
1001,tomato,vegetable,2021-11-17,3.49,29,kg
1001,tomato,vegetable,2021-11-18,3.49,36,kg
1001,tomato,vegetable,2021-11-19,3.49,37,kg
1001,tomato,vegetable,2021-11-20,3.49,27,kg
1001,tomato,vegetable,2021-11-21,3.49,22,kg
1001,tomato,vegetable,2021-11-22,3.49,22,kg
1001,tomato,vegetable,2021-11-23,3.49,30,kg
1001,tomato,vegetable,2021-11-24,2.89,39,kg
1001,tomato,vegetable,2021-11-25,2.89,25,kg
1001,tomato,vegetable,2021-11-26,2.89,21,kg
1001,tomato,vegetable,2021-11-27,2.89,38,kg
1001,tomato,vegetable,2021-11-28,2.89,26,kg
1001,tomato,vegetable,2021-11-29,2.89,24,kg
1001,tomato,vegetable,2021-11-30,2.89,21,kg
1002,cucumber,vegetable,2021-11-01,4.29,22,kg
1002,cucumber,vegetable,2021-11-02,4.29,20,kg
1002,cucumber,vegetable,2021-11-03,4.29,37,kg
1002,cucumber,vegetable,2021-11-04,4.29,30,kg
1002,cucumber,vegetable,2021-11-05,,24,kg
1002,cucumber,vegetable,2021-11-06,4.29,36,kg
1002,cucumber,vegetable,2021-11-07,4.29,20,kg
1002,cucumber,vegetable,2021-11-08,,38,kg
1002,cucumber,vegetable,2021-11-09,4.49,25,kg
1002,cucumber,vegetable,2021-11-10,4.49,33,kg
1002,cucumber,vegetable,2021-11-11,4.49,24,kg
1002,cucumber,vegetable,2021-11-12,4.49,29,kg
1002,cucumber,vegetable,2021-11-13,4.49,25,kg
1002,cucumber,vegetable,2021-11-14,4.49,38,kg
1002,cucumber,vegetable,2021-11-15,4.49,28,kg
1002,cucumber,vegetable,2021-11-16,4.49,27,kg
1002,cucumber,vegetable,2021-11-17,4.49,34,kg
1002,cucumber,vegetable,2021-11-18,4.49,21,kg
1002,cucumber,vegetable,2021-11-19,4.69,32,kg
1002,cucumber,vegetable,2021-11-20,4.69,28,kg
1002,cucumber,vegetable,2021-11-21,4.69,31,kg
1002,cucumber,vegetable,2021-11-22,4.69,24,kg
1002,cucumber,vegetable,2021-11-23,4.69,32,kg
1002,cucumber,vegetable,2021-11-24,4.69,37,kg
1002,cucumber,vegetable,2021-11-25,4.69,35,kg
1002,cucumber,vegetable,2021-11-26,4.69,27,kg
1002,cucumber,vegetable,2021-11-27,4.69,37,kg
1002,cucumber,vegetable,2021-11-28,4.69,23,kg
1002,cucumber,vegetable,2021-11-29,4.69,38,kg
1002,cucumber,vegetable,2021-11-30,4.69,20,kg
1003,onion,vegetable,2021-11-01,2.29,29,kg
1003,onion,vegetable,2021-11-02,2.29,22,kg
1003,onion,vegetable,2021-11-03,2.29,33,kg
1003,onion,vegetable,2021-11-04,2.29,27,kg
1003,onion,vegetable,2021-11-05,2.29,35,kg
1003,onion,vegetable,2021-11-06,2.29,29,kg
1003,onion,vegetable,2021-11-07,2.29,38,kg
1003,onion,vegetable,2021-11-08,2.29,27,kg
1003,onion,vegetable,2021-11-09,2.29,34,kg
1003,onion,vegetable,2021-11-10,1.99,26,kg
1003,onion,vegetable,2021-11-11,1.99,23,kg
1003,onion,vegetable,2021-11-12,1.99,39,kg
1003,onion,vegetable,2021-11-13,1.99,26,kg
1003,onion,vegetable,2021-11-14,,39,kg
1003,onion,vegetable,2021-11-15,,25,kg
1003,onion,vegetable,2021-11-16,1.99,21,kg
1003,onion,vegetable,2021-11-17,1.99,38,kg
1003,onion,vegetable,2021-11-18,1.99,21,kg
1003,onion,vegetable,2021-11-19,1.99,38,kg
1003,onion,vegetable,2021-11-20,1.99,30,kg
1003,onion,vegetable,2021-11-21,1.99,28,kg
1003,onion,vegetable,2021-11-22,1.99,25,kg
1003,onion,vegetable,2021-11-23,1.99,23,kg
1003,onion,vegetable,2021-11-24,1.99,23,kg
1003,onion,vegetable,2021-11-25,2.29,24,kg
1003,onion,vegetable,2021-11-26,2.29,28,kg
1003,onion,vegetable,2021-11-27,2.29,25,kg
1003,onion,vegetable,2021-11-28,2.29,38,kg
1003,onion,vegetable,2021-11-29,2.29,21,kg
1003,onion,vegetable,2021-11-30,2.29,27,kg
1101,plum,fruit,2021-11-01,4.5,27,kg
1101,plum,fruit,2021-11-02,4.5,33,kg
1101,plum,fruit,2021-11-03,4.5,37,kg
1101,plum,fruit,2021-11-04,4.5,33,kg
1101,plum,fruit,2021-11-05,4.5,30,kg
1101,plum,fruit,2021-11-06,4.5,22,kg
1101,plum,fruit,2021-11-07,4.5,38,kg
1101,plum,fruit,2021-11-08,4.5,22,kg
1101,plum,fruit,2021-11-09,4.5,22,kg
1101,plum,fruit,2021-11-10,,36,kg
1101,plum,fruit,2021-11-11,4.5,34,kg
1101,plum,fruit,2021-11-12,4.5,32,kg
1101,plum,fruit,2021-11-13,4.5,36,kg
1101,plum,fruit,2021-11-14,4.5,32,kg
1101,plum,fruit,2021-11-15,4.7,24,kg
1101,plum,fruit,2021-11-16,4.7,34,kg
1101,plum,fruit,2021-11-17,4.7,22,kg
1101,plum,fruit,2021-11-18,4.7,39,kg
1101,plum,fruit,2021-11-19,4.7,31,kg
1101,plum,fruit,2021-11-20,4.7,21,kg
1101,plum,fruit,2021-11-21,4.7,22,kg
1101,plum,fruit,2021-11-22,4.7,31,kg
1101,plum,fruit,2021-11-23,3.9,32,kg
1101,plum,fruit,2021-11-24,3.9,29,kg
1101,plum,fruit,2021-11-25,3.9,24,kg
1101,plum,fruit,2021-11-26,3.9,34,kg
1101,plum,fruit,2021-11-27,3.9,24,kg
1101,plum,fruit,2021-11-28,3.9,21,kg
1101,plum,fruit,2021-11-29,3.9,32,kg
1101,plum,fruit,2021-11-30,3.9,29,kg
1102,orange,fruit,2021-11-01,2.6,37,kg
1102,orange,fruit,2021-11-02,2.6,21,kg
1102,orange,fruit,2021-11-03,2.6,35,kg
1102,orange,fruit,2021-11-04,2.6,37,kg
1102,orange,fruit,2021-11-05,2.6,36,kg
1102,orange,fruit,2021-11-06,2.6,37,kg
1102,orange,fruit,2021-11-07,2.6,29,kg
1102,orange,fruit,2021-11-08,,28,kg
1102,orange,fruit,2021-11-09,2.6,31,kg
1102,orange,fruit,2021-11-10,2.6,39,kg
1102,orange,fruit,2021-11-11,2.6,32,kg
1102,orange,fruit,2021-11-12,2.6,30,kg
1102,orange,fruit,2021-11-13,2.6,26,kg
1102,orange,fruit,2021-11-14,2.9,28,kg
1102,orange,fruit,2021-11-15,2.9,23,kg
1102,orange,fruit,2021-11-16,2.9,28,kg
1102,orange,fruit,2021-11-17,2.9,29,kg
1102,orange,fruit,2021-11-18,2.9,29,kg
1102,orange,fruit,2021-11-19,2.9,26,kg
1102,orange,fruit,2021-11-20,2.9,34,kg
1102,orange,fruit,2021-11-21,2.9,28,kg
1102,orange,fruit,2021-11-22,,38,kg
1102,orange,fruit,2021-11-23,2.7,30,kg
1102,orange,fruit,2021-11-24,2.7,34,kg
1102,orange,fruit,2021-11-25,2.7,29,kg
1102,orange,fruit,2021-11-26,2.7,25,kg
1102,orange,fruit,2021-11-27,2.7,28,kg
1102,orange,fruit,2021-11-28,2.7,27,kg
1102,orange,fruit,2021-11-29,2.7,21,kg
1102,orange,fruit,2021-11-30,2.7,33,kg
1103,apple,fruit,2021-11-01,1.9,31,kg
1103,apple,fruit,2021-11-02,1.9,29,kg
1103,apple,fruit,2021-11-03,1.9,31,kg
1103,apple,fruit,2021-11-04,1.9,31,kg
1103,apple,fruit,2021-11-05,,28,kg
1103,apple,fruit,2021-11-06,1.9,39,kg
1103,apple,fruit,2021-11-07,1.9,39,kg
1103,apple,fruit,2021-11-08,1.9,22,kg
1103,apple,fruit,2021-11-09,1.9,35,kg
1103,apple,fruit,2021-11-10,1.9,31,kg
1103,apple,fruit,2021-11-11,,21,kg
1103,apple,fruit,2021-11-12,1.9,30,kg
1103,apple,fruit,2021-11-13,1.9,20,kg
1103,apple,fruit,2021-11-14,2.2,31,kg
1103,apple,fruit,2021-11-15,2.2,23,kg
1103,apple,fruit,2021-11-16,2.2,24,kg
1103,apple,fruit,2021-11-17,2.2,21,kg
1103,apple,fruit,2021-11-18,2.2,28,kg
1103,apple,fruit,2021-11-19,2.2,24,kg
1103,apple,fruit,2021-11-20,2.2,34,kg
1103,apple,fruit,2021-11-21,2.2,35,kg
1103,apple,fruit,2021-11-22,2.2,35,kg
1103,apple,fruit,2021-11-23,2.2,36,kg
1103,apple,fruit,2021-11-24,2.2,20,kg
1103,apple,fruit,2021-11-25,2.2,28,kg
1103,apple,fruit,2021-11-26,2.2,24,kg
1103,apple,fruit,2021-11-27,,29,kg
1103,apple,fruit,2021-11-28,2.2,37,kg
1103,apple,fruit,2021-11-29,2.2,33,kg
1103,apple,fruit,2021-11-30,2.2,29,kg
1104,grape,fruit,2021-11-01,4.4,29,kg
1104,grape,fruit,2021-11-02,4.4,25,kg
1104,grape,fruit,2021-11-03,4.4,24,kg
1104,grape,fruit,2021-11-04,4.4,38,kg
1104,grape,fruit,2021-11-05,4.4,28,kg
1104,grape,fruit,2021-11-06,4.4,25,kg
1104,grape,fruit,2021-11-07,4.4,37,kg
1104,grape,fruit,2021-11-08,4.4,21,kg
1104,grape,fruit,2021-11-09,4.4,35,kg
1104,grape,fruit,2021-11-10,4.4,24,kg
1104,grape,fruit,2021-11-11,4.4,29,kg
1104,grape,fruit,2021-11-12,4.4,24,kg
1104,grape,fruit,2021-11-13,4.4,37,kg
1104,grape,fruit,2021-11-14,4.4,31,kg
1104,grape,fruit,2021-11-15,4.4,32,kg
1104,grape,fruit,2021-11-16,4.4,38,kg
1104,grape,fruit,2021-11-17,4.4,34,kg
1104,grape,fruit,2021-11-18,4.4,36,kg
1104,grape,fruit,2021-11-19,4.4,24,kg
1104,grape,fruit,2021-11-20,4.4,21,kg
1104,grape,fruit,2021-11-21,4.4,28,kg
1104,grape,fruit,2021-11-22,4.4,36,kg
1104,grape,fruit,2021-11-23,4.4,20,kg
1104,grape,fruit,2021-11-24,4.4,26,kg
1104,grape,fruit,2021-11-25,4.4,34,kg
1104,grape,fruit,2021-11-26,4.4,29,kg
1104,grape,fruit,2021-11-27,4.4,26,kg
1104,grape,fruit,2021-11-28,4.4,27,kg
1104,grape,fruit,2021-11-29,4.4,39,kg
1104,grape,fruit,2021-11-30,4.4,32,kg
1201,milk-1.5,dairy,2021-11-01,5.9,32,pcs
1201,milk-1.5,dairy,2021-11-02,5.9,39,pcs
1201,milk-1.5,dairy,2021-11-03,5.9,34,pcs
1201,milk-1.5,dairy,2021-11-04,5.9,31,pcs
1201,milk-1.5,dairy,2021-11-05,5.9,36,pcs
1201,milk-1.5,dairy,2021-11-06,5.9,36,pcs
1201,milk-1.5,dairy,2021-11-07,5.9,39,pcs
1201,milk-1.5,dairy,2021-11-08,5.9,30,pcs
1201,milk-1.5,dairy,2021-11-09,5.9,25,pcs
