price,year,make,model,condition,cylinders,drive,odometer,paint,title_status,transmission,vehicle_type
"$7,500",2015,Nissan,Versa Note SV,excellent,4 cylinders,fwd,102700,white,clean,automatic,hatchback
"$3,800",2006,honda,odyssey,good,6 cylinders,fwd,200000,silver,clean,automatic,mini-van
"$5,700",2005,honda,cr-v ex,excellent,4 cylinders,4wd,133461,black,clean,automatic,SUV
"$9,995",2012,Audi,A3 2.0T Premium Plus,good,4 cylinders,fwd,96749,black,clean,automatic,hatchback
"$4,650",2004,lincoln,aviator  awd,excellent,8 cylinders,4wd,152000,white,clean,automatic,SUV
"$5,995",2010,dodge,durango slt 4x4,excellent,8 cylinders,4wd,191000,white,clean,automatic,SUV
"$3,200",2007,Toyota,Prius Hybrid,fair,4 cylinders,fwd,253447,silver,clean,automatic,hatchback
"$7,650",2014,dodge,grand caravan,excellent,6 cylinders,fwd,137000,white,clean,automatic,mini-van
"$17,950",2021,TOYOTA,MARAI XLE,like new,other,rwd,11200,grey,clean,automatic,sedan
"$5,500",2008,nissan,altima 2.5s,excellent,4 cylinders,fwd,151000,grey,clean,automatic,coupe
"$15,000",1993,Chevy,G30 van,good,8 cylinders,4wd,208000,grey,clean,automatic,van
"$17,000",2012,Infiniti,G37 Convertible,good,6 cylinders,rwd,101500,grey,clean,automatic,convertible
"$20,500",2016,bmw,535i xdrive,excellent,6 cylinders,4wd,70000,blue,clean,automatic,sedan
"$8,400",2015,chrysler,town and country,excellent,6 cylinders,fwd,85387,grey,clean,automatic,van
"$32,000",2016,porsche,macan s,like new,6 cylinders,4wd,89754,black,clean,automatic,SUV
"$9,580",2012,SUBARU,FORESTER  2.5X PREMIUM,like new,4 cylinders,4wd,129000,silver,clean,automatic,SUV
"$35,000",1960,ford,thunderbird deluxe,excellent,8 cylinders,rwd,5000,custom,clean,automatic,other
"$26,500",2018,audi,a3 e-tron,excellent,4 cylinders,fwd,27469,white,clean,automatic,hatchback
"$23,000",2007,ford,mustang shelby gt500,excellent,8 cylinders,rwd,98000,red,clean,manual,convertible
"$7,500",2010,Mazda3,s Grand Touring Hatchback,good,4 cylinders,fwd,146000,grey,clean,manual,hatchback
"$6,900",2008,bmw,x5 3.0si,good,6 cylinders,4wd,130000,white,clean,automatic,SUV
"$27,998",2021,mazda,mx-5 miata grand touring,like new,4 cylinders,rwd,13127,red,clean,manual,convertible
"$9,250",2013,toyota,prius c,like new,4 cylinders,fwd,128258,blue,salvage,automatic,hatchback
"$67,900",2020,Land,Rover Range Rover,excellent,6 cylinders,4wd,34750,white,clean,automatic,SUV
"$12,500",2014,mazda,6,excellent,4 cylinders,fwd,137250,white,clean,automatic,sedan
"$5,500",2010,dodge,journey r/t,good,6 cylinders,4wd,137000,black,clean,automatic,SUV
"$10,500",2003,toyota,tacoma,good,6 cylinders,4wd,180000,white,salvage,manual,truck
"$2,500",2000,nissan,maxima,good,6 cylinders,fwd,208000,blue,clean,automatic,sedan
"$13,200",2015,honda,civic si,like new,4 cylinders,fwd,92138,white,salvage,manual,sedan
"$8,500",1975,mg,mgb,good,8 cylinders,rwd,64000,white,clean,manual,convertible
"$14,900",1997,mercedes,sl320,like new,6 cylinders,rwd,46550,white,clean,automatic,convertible
"$1,100",1999,1999,Chrysler,fair,6 cylinders,fwd,80000,green,clean,automatic,sedan
"$3,500",2012,nissan,sentra sl,good,4 cylinders,fwd,160800,silver,clean,automatic,sedan
"$41,000",2019,ford,f-150,excellent,6 cylinders,4wd,42000,silver,clean,automatic,truck
"$14,300",2005,2005,Toyota Landcruiser,good,8 cylinders,4wd,239000,white,clean,automatic,SUV
"$6,000",1996,cadillac,deville,excellent,8 cylinders,fwd,115000,white,clean,automatic,sedan
"$8,500",2008,mazda,mazdaspeed3,good,4 cylinders,fwd,148744,black,clean,manual,hatchback
"$9,750",2013,mini,cooper s,like new,4 cylinders,fwd,111000,blue,clean,automatic,coupe
"$78,900",2018,ford,f 350 4x4,like new,8 cylinders,4wd,46500,white,clean,automatic,truck
"$9,900",2013,volkswagen,tiguan s,excellent,4 cylinders,fwd,96825,silver,clean,automatic,SUV
"$2,000",2002,2002,Honda Accord SE,salvage,4 cylinders,fwd,260000,red,salvage,automatic,sedan
"$27,500",2017,mercedes-benz,s-class s550,excellent,8 cylinders,rwd,79000,blue,clean,automatic,sedan
"$5,900",2007,ford,focus,good,4 cylinders,fwd,49000,white,clean,automatic,hatchback
"$28,500",2018,2018,BMW 430i,excellent,4 cylinders,rwd,30700,white,clean,automatic,convertible
"$26,991",1995,Mercedes-Benz,E Class,like new,6 cylinders,rwd,48069,custom,clean,automatic,convertible
"$108,888",2022,Tesla,X,new,other,4wd,200,grey,clean,automatic,SUV
"$54,991",2020,BMW,3 Series,like new,6 cylinders,4wd,14350,blue,clean,automatic,sedan
"$12,991",1979,Chevrolet,Silverado 1500 Classic,like new,8 cylinders,rwd,67023,red,clean,automatic,truck
"$56,991",2020,Cadillac,Escalade ESV,like new,8 cylinders,4wd,59350,white,clean,automatic,SUV
"$55,000",1974,VW,Type 2 Westfalia,excellent,4 cylinders,rwd,59000,custom,clean,manual,bus
"$28,991",2006,Chevrolet,Corvette,like new,8 cylinders,rwd,38355,red,clean,automatic,coupe
"$45,991",2016,Land,Rover Range Rover,like new,8 cylinders,4wd,54537,white,clean,automatic,SUV
"$16,000",2014,toyota,sienna se,like new,6 cylinders,fwd,65122,custom,clean,automatic,van
"$42,991",2018,Dodge,Charger,like new,8 cylinders,rwd,27594,blue,clean,automatic,sedan
"$22,991",2008,Chevrolet,Corvette,like new,8 cylinders,rwd,85575,yellow,clean,automatic,coupe
"$38,991",2018,Mercedes-Benz,E-Class,like new,6 cylinders,rwd,42238,silver,clean,automatic,coupe
"$45,991",2017,Cadillac,Escalade,like new,8 cylinders,4wd,48595,black,clean,automatic,SUV
"$15,000",2012,bmw,650i convertible,good,8 cylinders,rwd,82800,black,clean,automatic,convertible
"$36,991",2019,Lexus,GS,like new,6 cylinders,rwd,53484,custom,clean,automatic,sedan
"$65,000",2006,dodge,sprinter 2500 hightop,like new,5 cylinders,fwd,107573,white,clean,automatic,van
"$58,991",2018,Jeep,Grand Cherokee,like new,8 cylinders,4wd,52952,red,clean,automatic,wagon
"$81,991",2020,BMW,X5 M,like new,8 cylinders,4wd,44443,black,clean,automatic,wagon
"$41,991",2018,Toyota,4Runner,like new,6 cylinders,4wd,24025,red,clean,automatic,SUV
"$32,991",2017,Maserati,Ghibli,like new,6 cylinders,rwd,28831,custom,clean,automatic,sedan
"$7,500",2004,Toyota,4Runner,good,6 cylinders,rwd,215000,silver,clean,automatic,SUV
"$143,991",2014,Ferrari,California,like new,8 cylinders,rwd,4442,custom,clean,automatic,convertible
"$55,991",2017,Mercedes-Benz,C-Class,like new,8 cylinders,rwd,24749,white,clean,automatic,coupe
"$12,000",2010,GLS,550,excellent,8 cylinders,4wd,128200,black,clean,automatic,SUV
"$58,991",2017,Mercedes-Benz,GLE,like new,8 cylinders,4wd,40176,black,clean,automatic,wagon
"$38,991",2007,Honda,S2000,like new,4 cylinders,fwd,53009,black,clean,manual,convertible
"$10,700",2012,BMW,328i M-Sport Conv.,excellent,6 cylinders,rwd,99900,grey,clean,automatic,convertible
"$32,991",2009,Mercedes-Benz,CL-Class,like new,8 cylinders,rwd,45909,black,clean,automatic,coupe
"$25,991",2018,Audi,A3 Sedan,like new,4 cylinders,4wd,40493,red,clean,automatic,sedan
"$54,991",2020,Mercedes-Benz,CLS,like new,6 cylinders,rwd,40317,black,clean,automatic,coupe
"$15,991",2015,Hyundai,Sonata,like new,4 cylinders,fwd,51946,custom,clean,automatic,sedan
"$37,000",2014,ford,f-150 raptor,excellent,8 cylinders,4wd,92000,black,clean,automatic,pickup
"$44,991",2017,Land,Rover Range Rover Sport,like new,8 cylinders,4wd,64033,black,clean,automatic,SUV
"$39,991",2020,Ford,Mustang,like new,8 cylinders,rwd,20483,custom,clean,other,coupe
"$33,991",2021,Ford,Explorer,like new,4 cylinders,rwd,30254,red,clean,automatic,wagon
"$66,991",2018,Dodge,Charger,like new,8 cylinders,rwd,34487,white,clean,automatic,sedan
