id,product_code,product_group,stock_qty,cost,price,last_week_sales,last_month_sales
1,4187,PG2,498,420.76,569.91,13,58
2,4195,PG2,473,545.64,712.41,16,58
3,4204,PG2,968,640.42,854.91,22,88
4,4219,PG2,241,869.69,1034.55,14,45
5,4718,PG2,1401,12.54,26.59,50,285
6,5630,PG4,287,5.85,7.59,24,116
7,5631,PG4,262,9.56,10.44,35,130
8,5634,PG4,205,14.15,18.04,14,53
9,2650,PG4,239,59.4,111.06,15,38
10,5647,PG4,352,5.85,13.29,37,108
11,5649,PG4,360,6.26,13.29,32,79
12,4721,PG2,1379,13.17,30.39,47,264
13,4724,PG2,917,16.93,37.99,36,170
14,5684,PG6,2962,7,15.19,34,145
15,5693,PG4,260,7.62,13.29,19,74
16,5694,PG4,251,7.62,13.29,28,107
17,5696,PG4,260,7.62,13.29,29,98
18,5697,PG4,237,8.23,13.29,25,98
19,5698,PG4,277,8.23,13.29,20,100
20,5694,PG6,358,18,36.09,14,37
21,5699,PG6,206,3.82,8.54,12,25
22,4726,PG2,1638,18.18,40.84,12,84
23,4728,PG2,1337,18.81,40.84,13,64
24,4730,PG2,1291,21.95,37.99,12,52
25,4732,PG2,1349,24.45,52.24,14,57
26,4837,PG2,1842,49.34,89.29,22,102
27,4867,PG2,849,39.47,85.49,30,71
28,3997,PG2,1864,85.5,132.91,32,79
29,4003,PG2,1779,88.86,132.91,46,111
30,5730,PG6,2721,7.08,16.14,55,190
31,5731,PG6,2308,9.63,20.89,42,169
32,5734,PG6,2624,5.49,14.24,56,195
33,5744,PG6,379,4.77,10.44,23,80
34,5751,PG6,1080,12.68,26.59,47,147
35,4670,PG2,899,3.52,4.74,24,83
36,4671,PG2,838,3.52,5.22,17,88
37,4672,PG2,669,3.45,4.74,41,153
38,4673,PG2,732,3.45,4.74,33,141
39,4674,PG2,775,3.45,4.74,24,105
40,4675,PG2,475,7.85,10.44,18,86
41,4676,PG2,367,7.85,10.44,48,190
42,4677,PG2,455,7.85,10.44,25,91
43,4678,PG2,312,7.14,9.49,12,29
44,4681,PG2,486,7.85,10.44,20,72
45,5755,PG6,1575,9.42,25.64,43,208
46,5781,PG6,3047,5.72,11.39,74,245
47,5783,PG6,3066,6.46,14.24,44,196
48,5788,PG6,876,2.41,5.22,18,47
49,5789,PG6,2774,2.51,5.22,72,261
50,5790,PG6,2821,3.59,7.12,85,331
51,5791,PG6,2896,2.83,6.17,87,352
52,2432,PG4,297,7.15,14.24,14,39
53,4748,PG6,932,8.54,30.39,12,70
54,8747,PG4,293,2.6,10.44,16,30
55,8765,PG4,557,2.76,10.44,18,57
56,8769,PG4,1283,1.36,9.49,38,214
57,8776,PG4,187,8.09,23.74,15,26
58,4996,PG4,486,11.42,25.64,52,228
59,5030,PG4,1357,4.82,12.34,36,146
60,5120,PG4,1210,10.04,18.99,34,120
61,8785,PG4,833,1.98,10.44,13,89
62,8791,PG4,708,10.64,25.64,14,37
63,8793,PG4,686,2.56,10.44,13,59
64,1833,PG5,266,45.5,66.49,22,81
65,8802,PG4,974,9.3,23.74,34,93
66,8803,PG4,678,7.41,19.94,29,84
67,8804,PG4,889,4.25,14.24,25,88
68,8805,PG4,749,3.97,14.24,13,86
69,8808,PG4,643,27.96,52.24,27,40
70,8813,PG4,779,3.05,10.44,20,71
71,8816,PG4,919,6.66,19.94,16,41
72,8817,PG4,2134,2.3,10.44,91,256
73,8818,PG4,1602,3.26,10.44,36,125
74,8829,PG4,3066,1.2,9.49,90,266
75,8830,PG4,679,13.82,31.34,23,39
76,8831,PG4,698,13.82,31.34,12,35
77,8837,PG4,466,3.47,10.44,25,37
78,8839,PG4,749,9.39,23.74,22,79
79,8841,PG4,1060,4.61,14.24,34,133
80,5022,PG4,242,11.34,16.14,21,89
81,5212,PG2,4255,5.5,14.24,187,808
82,7004,PG4,151,31.35,33.24,12,50
83,7037,PG4,545,33.06,33.24,14,44
84,7040,PG4,844,39.27,42.74,12,35
85,928,PG4,237,8.71,7.12,21,32
86,946,PG4,662,10.48,22.79,25,48
87,3959,PG4,712,12.45,8.54,19,97
88,4332,PG4,600,10.51,12.34,32,126
89,958,PG4,290,6.95,14.24,13,30
90,3519,PG3,2718,42.85,56.99,111,411
91,3521,PG3,2923,46.7,56.99,208,850
92,6257,PG5,2071,35.31,73.14,278,968
93,6258,PG5,817,35.31,73.14,21,56
94,6260,PG5,2394,13.2,35.14,449,1590
95,6261,PG5,2273,13.2,35.14,52,205
96,6443,PG5,359,23.1,49.39,45,151
97,6664,PG5,430,8.25,21.84,51,182
98,6665,PG5,531,8.25,21.84,17,27
99,6193,PG2,1254,1.6,4.74,60,277
100,5718,PG6,3473,8.8,14.24,84,398
101,5719,PG6,2124,10.78,18.99,75,301
102,5721,PG6,1734,12.54,22.79,25,95
103,3721,PG4,585,7.15,14.24,31,101
104,5211,PG4,1269,68.52,94.91,48,183
105,728,PG4,701,9.24,17.09,12,47
106,729,PG4,507,8.01,18.04,15,43
107,7120,PG4,1691,12.71,14.24,37,175
108,7121,PG4,1254,14.08,18.04,51,179
109,7122,PG4,1394,16.34,18.99,39,160
110,7123,PG4,1111,18.92,21.84,29,100
111,7124,PG4,1279,20.3,23.74,34,183
112,3948,PG6,11394,17.6,42.74,105,542
113,4149,PG2,4591,7.52,14.24,72,277
114,730,PG4,541,8.47,19.94,17,88
115,732,PG4,803,7.55,17.09,18,60
116,5820,PG6,27563,2.78,5.22,2036,7955
117,6945,PG5,2385,111.13,132.91,51,258
118,9274,PG4,324,4.95,14.24,21,56
119,2846,PG6,252,16.29,53.19,15,63
120,2859,PG6,369,15.37,53.19,13,24
121,2915,PG6,411,10.46,32.29,15,41
122,2938,PG6,501,20.13,36.96,34,86
123,4259,PG5,553,26.51,28.49,21,85
124,4260,PG5,6097,7.15,8.54,427,1717
125,3445,PG1,1594,5.61,13.29,100,418
126,4837,PG5,4331,25.19,56.99,41,125
127,8527,PG4,3754,6.05,14.24,27,71
128,631,PG5,522,17.82,44.64,31,90
129,632,PG5,1835,17.82,44.64,98,345
130,635,PG5,430,17.82,44.64,24,127
131,636,PG5,781,17.82,44.64,12,29
132,4268,PG5,507,21.12,21.84,55,253
133,4270,PG5,6991,4.07,4.74,543,2118
134,4274,PG5,4843,10.67,11.39,285,1054
135,2353,PG4,471,5.49,18.04,21,55
136,2354,PG4,428,6.16,18.04,20,55
137,2364,PG4,2857,2.99,14.24,113,273
138,2366,PG4,1045,3.53,10.44,26,65
139,2368,PG4,2204,3.04,10.44,49,165
140,1962,PG4,1496,2.85,10.44,15,58
141,1966,PG4,1063,4.83,14.24,27,97
142,1971,PG4,5985,2.07,14.24,115,350
143,1974,PG4,749,6.57,18.04,21,74
144,706,PG5,1104,48.84,98.71,38,153
145,709,PG5,361,48.84,98.71,23,80
146,710,PG5,1138,48.84,98.71,17,95
147,7833,PG4,915,18.58,8.54,32,91
148,7841,PG4,654,6.61,7.12,18,28
149,7842,PG4,873,9.43,16.14,24,53
150,2491,PG4,3065,21.67,35.14,142,531
151,2492,PG4,212,41.25,61.74,42,74
152,9694,PG5,3508,26.51,23.74,194,668
153,5989,PG5,345,24.97,25.64,32,114
154,5990,PG5,355,27.61,29.44,21,93
155,6967,PG5,664,556.36,588.91,23,101
156,8991,PG4,1870,0.87,9.49,52,147
157,8992,PG4,489,1.09,9.49,19,21
158,9153,PG4,2021,1.31,9.49,31,126
159,1814,PG5,1323,44.76,66.49,28,76
160,1658,PG5,1296,127.61,170.91,16,64
161,1659,PG5,2072,146.65,199.41,32,142
162,1660,PG5,2122,51.56,69.34,46,199
163,1679,PG5,1782,44.76,66.49,34,108
164,1746,PG5,1389,44.76,66.49,15,49
165,6466,PG5,851,13.42,37.99,25,62
166,1657,PG5,244,162.33,208.91,14,48
167,1668,PG5,350,48.47,66.49,14,51
168,1847,PG5,333,45.5,66.49,13,52
169,5725,PG6,4870,10.45,18.99,202,827
170,1799,PG5,229,24.23,47.49,22,73
